Count	Reference	Value	Footprint	Library	Part
8	"C1105 C1107 C1205 C1207 C1305 
C1307 C1405 C1407 "	47n/C0G	Capacitors_SMD:C_0402	EtherDue-cache	C
4	"R1102 R1202 R1302 R1402 "	820R/1%	Resistors_SMD:R_0603	EtherDue-cache	R
4	"C1111 C1211 C1311 C1411 "	100n/X7R	Capacitors_SMD:C_0805	EtherDue-cache	C
4	"R1101 R1201 R1301 R1401 "	56R/1%	Resistors_SMD:R_0603	EtherDue-cache	R
2	"R1502 R1602 "	100k	Resistors_SMD:R_0603	EtherDue-cache	R
2	"C1502 C1602 "	1u/X7R	Capacitors_SMD:C_0805	EtherDue-cache	C
10	"Q1501 Q1502 Q1601 Q1602 Q1701 
Q1702 Q1801 Q1802 Q1901 Q1902 "	BSS123	zeilhofer:sot23-gsd	EtherDue-cache	NMOSFET2
12	"R1503 R1504 R1505 R1603 R1604 
R1605 R1701 R1801 R1901 R2007 
R2008 R2009 "	10k	Resistors_SMD:R_0603	EtherDue-cache	R
1	"U1501 "	4013_with_supply	Housings_SOIC:SOIC-14_3.9x8.7mm_Pitch1.27mm	EtherDue-cache	4013_with_supply
3	"SW1701 SW1801 SW1901 "	SW_PUSH	FT:SW_TACTILE_SMD	EtherDue-cache	SW_PUSH
3	"U1702 U1801 U1901 "	INA207	Housings_SOIC:SOIC-14_3.9x8.7mm_Pitch1.27mm	EtherDue-cache	INA207
3	"C1709 C1809 C1909 "	DNP	Capacitors_SMD:C_0603	EtherDue-cache	C
3	"U1703 U1802 U1902 "	MEU1S1212ZC	zeilhofer:MEU1-Murata-DCDC	EtherDue-cache	MEU1
3	"R1704 R1804 R1904 "	1k	Resistors_SMD:R_1206	EtherDue-cache	R
6	"C1707 C1708 C1807 C1808 C1907 
C1908 "	1n/X7R	Capacitors_SMD:C_0805	EtherDue-cache	C
3	"VR1701 VR1801 VR1901 "	100k	Potentiometers:Potentiometer_Bourns_3296W_3-8Zoll_Inline_ScrewUp	EtherDue-cache	POT123
2	"R2010 R2011 "	6k8	Resistors_SMD:R_0603	EtherDue-cache	R
1	"R2012 "	TBD	Resistors_SMD:R_0603	EtherDue-cache	R
3	"R2001 R2002 R2003 "	47k	Resistors_SMD:R_0805	EtherDue-cache	R
3	"R2004 R2005 R2006 "	2k7	Resistors_SMD:R_0603	EtherDue-cache	R
576
